RPT_ID|CASH_START|CASH_END|ACCOUNTS_RECEIVABLE_START|ACCOUNTS_RECEIVABLE_END|INVESTMENTS_START|INVESTMENTS_END|FIXED_ASSETS_START|FIXED_ASSETS_END|TREASURY_SECURITIES_START|TREASURY_SECURITIES_END|OTHER_ASSETS_START|OTHER_ASSETS_END|LOANS_RECEIVABLE_START|LOANS_RECEIVABLE_END|TOTAL_START|MARKET_SEC_TOTAL_COST|MARKET_SEC_TOTAL_BOOK_VALUE|OTHER_INV_TOTAL_COST|OTHER_INV_TOTAL_BOOK_VALUE
726285|976|3956|||0|0|0|0|0|0|0|0|0|0|||||
717402|78253|70422|||0|0|0|0|0|0|0|0|0|0|||||
703446|77254|70633|||0|0|0|0|0|0|0|0|0|0|||||
721899|104234|214649|0|0|0|0|18010|14338|0|0|0|8878|0|0|||||
717997|5548|6209|||0|0|0|0|0|0|0|0|0|0|||||
717785|356317|369779|||0|0|0|0|0|0|0|0|0|0|||||
724064|219829|227489|||0|0|0|0|0|0|12173|22644|0|0|||||
727748|1276036|1443225|108|0||0|145679|147910|0|0||0||0|||||
720252|7847|4026|||0|0|1000|1000|0|0|0|0|0|0|||||
710800|66229|70129|||0|0|0|0|0|0|0|0|0|0|||||
734005|76741|69129|||0|0|276|276|0|0|0|0|0|0|||||
722583|160155|167246|||0|0|0|0|0|0|0|0|0|0|||||
715686|163734|159518|||0|0|49296|49296|0|0|0|0|0|0|||||
734657|8758|8758||||||||0|||||||||
721249|274914|270806|||0|0|0|0|0|0|1484|1174|0|0|||||
720402|114106|119325|||0|0|0|0|0|0|0|0|0|0|||||
737026|16835|22196|||0|0|792|792|0|0|0|0|0|0|||||
716345|12631|14717|||0|0|0|0|0|0|0|0|0|0|||||
715787|248796|273120|||0|0|0|0|0|0|0|0|0|0|||||
711537|25104|25527|||0|0|0|0|0|0|0|0|0|0|||||
720928|35321|32273|||0|0|0|0|0|0|0|0|0|0|||||
720565|74544|41800|||0|0|0|0|0|39856|0|0|0|0|||||
731548|66869|65398|9510|24337|||57134|57134|0|0|||||||||
725752|36464|44286|||0|0|0|0|0|0|0|0|0|0|||||
725403|3109964|3581680|347826|224084|130014|140410|40986|33975|0|0|51228|118007||0|||||
707915|0|0|||0|0|0|0|0|0|0|0|0|0|||||
707914|0|0|||0|0|0|0|0|0|0|0|0|0|||||
707957|0|0|||0|0|0|0|0|0|0|0|0|0|||||
722007|557219|784719|667|20836|244763|252719|285263|285184|0|0|62894|17704|0|0|||||
716264|113035|108191|||0|0|0|0|0|0|0|0|0|0|||||
708929|5869|9344|||0|0|1619|1619|0|0|0|0|2628|2628|||||
708421|1074430|1083696|0||1050|1050|459361|445233|0|0|1630|2039|0||||||
718216|3539|10660|||0|0|1792|1792|0|0|0|0|0|0|||||
724873|673188|718110|87764|132896|2559927|2802049|23870|19421|0|0|36510|37218|||||||
712613|81011|78367|||0|0|2144|1905|0|0|0|357|0|0|||||
719002|51557|71168|0|0|0|0|2316|3141|0|0|928|1670|0|0|||||
719748|105442|116090|||11820|12543|0|0|0|0|2878|1929|0|0|||||
718949|347922|435593|||||2279|2279|0|0|||||||||
707454|66287|62398|0||0||659|367|0|0|1225|1225|0||||||
