RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
548166|5951729|0|8710|0|0|160283|114107|251668|105427||69357|0|0|17268692|18608
544971|36533|0|0|||1|||141||120||||
547478|3534|0|0|||0|||0||1468||||
555298|0|0|0|||0|||98600||2000||||
557566|844|0|0|||0|||0||0||||
543365|0|10410|0|||47|||0||0||||
546839|827534|0||0|0|146|0|0|181370|0|96|0|0||96
546492|2695030|0|1500|0||5101|77934|72260|17386||90865|0|0|0|19809
574535|158931|0||0||760|0|0|494618||7033|0|0||7033
552166|11084|0|0|||0|||0||0||||
550014|351570|0||0||138|0|0|48926|0|5027|0|0||5027
537803|903|||||38|||||20000||||
549261|18789|0|0|||0|||0||0||||
545826|47398|0|0|||95|||600||5613||||
539637|17641|0|0|||0|||0||0||||
548227|3337938|0|417630|0|0|975|0|12974|23913|91947|155467|0|0||32587
557330|60057||||||||||131000||||
550545|4988048|0|0|0|1608|621|0|3864|0|300000|73770|79895|0|0|7256
544017|318651|0||0||18|0|2985|0||4613|0|0||4613
542278|238702|0|1000|0|0|12|0|0|0||0|0|0||
542759|182431|0|0|||0|||0||0||||
554619|13186|0|0|||49|||0||1356||||
597174|57735|0|0|||0|||0||0||||
536911|30747|0|0|||11|||0||0||||
534621|27065|0|0|||0|||0||0||||
555366|2642716|0||0||122|0|0|833494||11196|100|0||1196
559214|26422|0|0|||0|||0||2429||||
652768|19190|0|0|||0|||0||0||||
547955|52210|0|0|||574|||0||598||||
552839|73114|0|0|||0|||0||0||||
547439|916541|4664316|0|0|0|57211|36434|16945|96043|0|144300|0|0|0|112800
554254|11917|0|0|||0|||0||0||||
545699|36897|0|0|||8|||0||8||||
550500|32756|0|0|||0|||0||0||||
536655|17188|0|0|||0|||0||61||||
533312|68678|0|0|||0|||0||958||||
555219|69792|0|0|||1286|||9||12096||||
551480|16135|0|0|||0|||0||346||||
537287|134154|0|0|||74|||0||465||||
543304|481899|0|0|0|0|0|0|0|0|0|87|0|0||87
