RPT_ID|DUES|TAX|INVESTMENTS|SUPPLIES|LOANS_MADE|INTEREST|DIVIDENDS|RENTS|FEES|LOANS_OBTAINED|OTHER_RECEIPTS|AFFILIATES|MEMBERS|INV_SALE_REINVESTMENTS|ALL_OTHER_RECEIPTS
498589|15276|0|0|||0|||0||0||||
473922|457241|0|0|0||9077|0|0|0|0|1346|0|0||1346
473561|19753|0|0|||0|||700||2337||||
509709|959|0|0|0||0|0|0|0||0|0|0|0|0
478577|33275|0|0|||157|||0||263||||
498477|8424|0|0|||0|||0||39551||||
474752|64471|0|0|||0|||0||0||||
492847|11133||||||||||||||
474203|72592|0|0|||2012|||0||6932||||
481239|53671|0|0|||0|||0||0||||
495611|19951|0|0|||0|||0||0||||
475465|34102|0|0|||2|||300||2904||||
494564|15678|0|0|||776|||0||510||||
491053|1276617|0||0||13167|0|23500|0|0|228630|0|0||10046
497058|0|0|9649|||1596|||0||747||||
475693|46918|0|0|||170|||0||1106||||
493469|37936|||||12|||||5280||||
497245|16631|0||0||0|0|0|0||110|0|0||110
477295|8714|0|0|||121|||0||6625||||
465098|243800|0|0|0||2929|0|0|0|0|26696|0|0||0
515133|25161|0|0|||39|||0||0||||
489150|317949|0|0|0||4787|0|0|17276|0|149516|0|0|0|4846
493499|88533|0|0|||1267|||0||1815||||
497146|194675|0|0|||116|||0||11975||||
474764|30976|0|0|||105|||0||600||||
493483|49031|0|0|||0|||0||564||||
498593|6277||||||||||15390||||
472988|17569|0|0|||495|||0||0||||
473994|13870|0|0|||0|||0||0||||
478936|54987|0|0|||0|||0||3194||||
478661|18589|0|0|||0|||0||617||||
466929|1344284|0||0||1737|104|0|0||2592|0|0||2592
472357|15474|0|0|||0|||0||0||||
478956|0|58130|0|||394|||0||3617||||
495838|182280|0|0|||10934|||0||5430||||
466122|207910|0||1753||12313|0|47650|326584||107448|0|69700||12938
493833|929175|0|45000|0||4802|0|0|0|0|9215|0|0||0
473923|67211|0|0|||347|||0||10423||||
475596|69234|0|0|||330|||0||35||||
492093|90585|0|0|||228|||0||6344||||
498605|13288|0|0|||1|||0||0||||
470572|48492|0|0|||6|||0||240||||
497156|36722|0|0|||76|||0||0||||
466917|724466|0||0||12745|0|0|0||42000|0|0|0|0
493316|30705|0|0|||0|||0||1628||||
476731|66899|||||200|||||284||||
469310|23334|0|0|||2|||0||0||||
493269|13589|6406||||226|||||||||
510591|1773546|0|3800|2046||60|0|200|71426|81920|60868|0|0||8827
467767|981818|0|27253|3648||1080|0|0|121420|0|19361|0|0||6002
