OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
30447|FORD CREDIT 2017 FORD EXPLORER 4WD|0|42513|1417|0|41096|669424
30448|FORD CREDIT 2017 FORD EXPLORER 4WD|0|43201|1440|0|41761|669424
30449|Dell Computers|2470|0|2470|0|0|669441
30450|CHEVY SIVERADO|11065|0|11065|0|0|669451
30451|Union Bank & Trust|358277|0|22060||336217|669452
30452|Mortgage note|288070||51179||236891|669482
30453|Construction loan|130210||2986||127224|669482
30454|n/a|0|0|0|0|0|669491
30455|Credit Union|26004|17913|13734|0|30183|669529
30456|Capital lease obligation|1807||1426||381|669530
30457|Allegheny Valley Bank|312520|0|11956||300564|669533
30458|Urban Redevelopment Authority of Pittsburgh|198775|0|8875||189900|669533
30459|GreatAmerica Financial Services (Capital Lease)|0|14072|2202||11870|669533
30460|Konica Minolta (Capital Lease)|0|12453|541||11912|669533
30461|Verizon Wireless|1056|0|1056|0|0|669534
30462|Installment Notes|41847|0|10178|433|31236|669537
30463|Chase Auto|21484|0|10832|0|10652|669558
30464|SEIU|16707535|0|0|65613|16641922|669581
30465|Pennsylvania Joint Board|22917|0|22917|0|0|669581
30466|FIRST Insurance Funding|30573|0|30573|0|0|669581
30467|Premium Assignment Corporation|22376|0|22376|0|0|669581
30468|FIRST Insurance Funding|0|112101|81528|0|30573|669581
30469|Premium Assignment Corporation|0|71349|71349|0|0|669581
30471|NONE|0||||0|669598
30473|Wells Fargo (auto loan)|27422||5264||22158|669604
30474|NONE|0|0|0|0|0|669607
30475|OPEIU International Union|2800|0|2800||0|669619
30476|Blackhawk Bank|1555496|0|312866|0|1242630|669628
30477|N/A|0|0|0|0|0|669651
30478|Ford|0|35205|6357||28848|669666
30479|Due to PAC|4200||||4200|669667
30480|Amalgamated Bk of Chicago|1358444|0|72638|0|1285806|669672
30481|Ally Finance Company|54048|112079|54048|0|112079|669672
30482|ALLY AUTO- BANK|28259|0|2545|0|25714|669692
